subject,model,test_trial,test_condition,window_s,n_windows,n_correct,accuracy,auc
03,gazectrl_ts,5,FixedVideo,10,58,30,0.5172413793103449,0.4803804994054697
03,gazectrl_ts,5,FixedVideo,30,18,9,0.5,0.4444444444444445
03,gazectrl_ts,5,FixedVideo,60,8,4,0.5,0.4375
03,gazectrl_csp,0,MovingVideo,1,596,299,0.5016778523489933,0.5087383451195893
03,gazectrl_csp,0,MovingVideo,2,298,150,0.5033557046979866,0.5122742218818972
03,gazectrl_csp,0,MovingVideo,5,118,58,0.4915254237288136,0.5130709566216605
03,gazectrl_csp,0,MovingVideo,10,58,29,0.5,0.511296076099881
03,gazectrl_csp,0,MovingVideo,30,18,9,0.5,0.5061728395061729
03,gazectrl_csp,0,MovingVideo,60,8,4,0.5,0.5625
03,gazectrl_csp,1,NoVisuals,1,596,275,0.46140939597315433,0.4344173685870006
03,gazectrl_csp,1,NoVisuals,2,298,132,0.4429530201342282,0.4033602089995946
03,gazectrl_csp,1,NoVisuals,5,118,43,0.3644067796610169,0.31772479172651535
03,gazectrl_csp,1,NoVisuals,10,58,16,0.27586206896551724,0.2152199762187872
03,gazectrl_csp,1,NoVisuals,30,18,2,0.1111111111111111,0.07407407407407408
03,gazectrl_csp,1,NoVisuals,60,8,0,0.0,0.0
03,gazectrl_csp,2,FixedVideo,1,596,257,0.4312080536912752,0.4209495067789739
03,gazectrl_csp,2,FixedVideo,2,298,137,0.4597315436241611,0.42187288860862127
03,gazectrl_csp,2,FixedVideo,5,118,55,0.4661016949152542,0.4093651249640908
03,gazectrl_csp,2,FixedVideo,10,58,25,0.43103448275862066,0.3828775267538645
03,gazectrl_csp,2,FixedVideo,30,18,6,0.3333333333333333,0.308641975308642
03,gazectrl_csp,2,FixedVideo,60,8,4,0.5,0.3125
03,gazectrl_csp,3,MovingVideo,1,596,274,0.4597315436241611,0.40781946759154997
03,gazectrl_csp,3,MovingVideo,2,298,122,0.40939597315436244,0.3711544525021395
03,gazectrl_csp,3,MovingVideo,5,118,47,0.3983050847457627,0.3361103131284114
03,gazectrl_csp,3,MovingVideo,10,58,22,0.3793103448275862,0.272294887039239
03,gazectrl_csp,3,MovingVideo,30,18,4,0.2222222222222222,0.13580246913580246
03,gazectrl_csp,3,MovingVideo,60,8,1,0.125,0.0
03,gazectrl_csp,4,NoVisuals,1,596,258,0.43288590604026844,0.3867956398360434
03,gazectrl_csp,4,NoVisuals,2,298,125,0.41946308724832215,0.3697130759875681
03,gazectrl_csp,4,NoVisuals,5,118,53,0.4491525423728814,0.31399023269175524
03,gazectrl_csp,4,NoVisuals,10,58,23,0.39655172413793105,0.27586206896551724
03,gazectrl_csp,4,NoVisuals,30,18,9,0.5,0.12345679012345681
03,gazectrl_csp,4,NoVisuals,60,8,4,0.5,0.0
03,gazectrl_csp,5,FixedVideo,1,596,293,0.49161073825503354,0.49942570154497545
03,gazectrl_csp,5,FixedVideo,2,298,154,0.5167785234899329,0.501373811990451
03,gazectrl_csp,5,FixedVideo,5,118,63,0.5338983050847458,0.5004309106578568
03,gazectrl_csp,5,FixedVideo,10,58,26,0.4482758620689655,0.469678953626635
03,gazectrl_csp,5,FixedVideo,30,18,11,0.6111111111111112,0.617283950617284
03,gazectrl_csp,5,FixedVideo,60,8,4,0.5,0.4375
04,eog_ts,0,MovingVideo,1,596,314,0.5268456375838926,0.5416310076122697
04,eog_ts,0,MovingVideo,2,298,157,0.5268456375838926,0.5381289131120219
04,eog_ts,0,MovingVideo,5,118,64,0.5423728813559322,0.5458201666187876
04,eog_ts,0,MovingVideo,10,58,27,0.46551724137931033,0.5493460166468491
04,eog_ts,0,MovingVideo,30,18,8,0.4444444444444444,0.5432098765432098
04,eog_ts,0,MovingVideo,60,8,5,0.625,0.5625
04,eog_ts,1,MovingTargetNoise,1,596,369,0.6191275167785235,0.6746655556056034
04,eog_ts,1,MovingTargetNoise,2,298,193,0.6476510067114094,0.6941579208143777
04,eog_ts,1,MovingTargetNoise,5,118,75,0.635593220338983,0.6693478885377765
04,eog_ts,1,MovingTargetNoise,10,58,36,0.6206896551724138,0.703923900118906
04,eog_ts,1,MovingTargetNoise,30,18,13,0.7222222222222222,0.8148148148148149
04,eog_ts,1,MovingTargetNoise,60,8,6,0.75,1.0
04,eog_ts,2,NoVisuals,1,596,241,0.40436241610738255,0.2721724246655556
04,eog_ts,2,NoVisuals,2,298,123,0.412751677852349,0.2875996576730778
04,eog_ts,2,NoVisuals,5,118,53,0.4491525423728814,0.37460499856363116
04,eog_ts,2,NoVisuals,10,58,24,0.41379310344827586,0.35196195005945297
04,eog_ts,2,NoVisuals,30,18,7,0.3888888888888889,0.22222222222222227
04,eog_ts,2,NoVisuals,60,8,2,0.25,0.125
04,eog_ts,3,FixedVideo,1,596,405,0.6795302013422819,0.7088306833025538
04,eog_ts,3,FixedVideo,2,298,206,0.6912751677852349,0.7425791631007612
04,eog_ts,3,FixedVideo,5,118,96,0.8135593220338984,0.8477449008905487
04,eog_ts,3,FixedVideo,10,58,45,0.7758620689655172,0.9167657550535078
04,eog_ts,3,FixedVideo,30,18,15,0.8333333333333334,1.0
04,eog_ts,3,FixedVideo,60,8,7,0.875,1.0
04,eog_ts,4,MovingVideo,1,596,205,0.34395973154362414,0.28007747398765825
04,eog_ts,4,MovingVideo,2,298,108,0.3624161073825503,0.29070762578262244
04,eog_ts,4,MovingVideo,5,118,44,0.3728813559322034,0.3246193622522264
04,eog_ts,4,MovingVideo,10,58,24,0.41379310344827586,0.2877526753864447
04,eog_ts,4,MovingVideo,30,18,8,0.4444444444444444,0.14814814814814814
04,eog_ts,4,MovingVideo,60,8,2,0.25,0.125
04,eog_ts,5,MovingTargetNoise,1,596,349,0.5855704697986577,0.600761226971758
04,eog_ts,5,MovingTargetNoise,2,298,172,0.5771812080536913,0.6140714382235034
04,eog_ts,5,MovingTargetNoise,5,118,74,0.6271186440677966,0.677391554151106
04,eog_ts,5,MovingTargetNoise,10,58,38,0.6551724137931034,0.7086801426872771
04,eog_ts,5,MovingTargetNoise,30,18,12,0.6666666666666666,0.8395061728395061
04,eog_ts,5,MovingTargetNoise,60,8,6,0.75,0.875
04,eog_ts,6,NoVisuals,1,596,349,0.5855704697986577,0.6045223188144677
04,eog_ts,6,NoVisuals,2,298,173,0.5805369127516778,0.6219539660375658
04,eog_ts,6,NoVisuals,5,118,76,0.6440677966101694,0.6532605573111174
04,eog_ts,6,NoVisuals,10,58,38,0.6551724137931034,0.6765755053507728
04,eog_ts,6,NoVisuals,30,18,11,0.6111111111111112,0.7407407407407407
04,eog_ts,6,NoVisuals,60,8,5,0.625,0.9375
04,eog_ts,7,FixedVideo,1,596,329,0.552013422818792,0.5800639610828341
04,eog_ts,7,FixedVideo,2,298,178,0.5973154362416108,0.6572226476284851
04,eog_ts,7,FixedVideo,5,118,78,0.6610169491525424,0.8055156564205688
04,eog_ts,7,FixedVideo,10,58,40,0.6896551724137931,0.8501783590963139
04,eog_ts,7,FixedVideo,30,18,14,0.7777777777777778,0.9259259259259259
04,eog_ts,7,FixedVideo,60,8,6,0.75,1.0
04,eeg_csp,0,MovingVideo,1,596,227,0.3808724832214765,0.3378338813566957
04,eeg_csp,0,MovingVideo,2,298,118,0.3959731543624161,0.34187649204990767
04,eeg_csp,0,MovingVideo,5,118,54,0.4576271186440678,0.34357943119793166
04,eeg_csp,0,MovingVideo,10,58,27,0.46551724137931033,0.3293697978596908
04,eeg_csp,0,MovingVideo,30,18,7,0.3888888888888889,0.2716049382716049
04,eeg_csp,0,MovingVideo,60,8,4,0.5,0.3125
04,eeg_csp,1,MovingTargetNoise,1,596,287,0.4815436241610738,0.4634475924507905
04,eeg_csp,1,MovingTargetNoise,2,298,149,0.5,0.47853700283771
04,eeg_csp,1,MovingTargetNoise,5,118,56,0.4745762711864407,0.46337259408216025
04,eeg_csp,1,MovingTargetNoise,10,58,30,0.5172413793103449,0.4411414982164091
04,eeg_csp,1,MovingTargetNoise,30,18,9,0.5,0.4814814814814815
04,eeg_csp,1,MovingTargetNoise,60,8,4,0.5,0.5
04,eeg_csp,2,NoVisuals,1,596,349,0.5855704697986577,0.5885883518760416
04,eeg_csp,2,NoVisuals,2,298,174,0.5838926174496645,0.5653348948245575
04,eeg_csp,2,NoVisuals,5,118,66,0.559322033898305,0.5346164895145072
04,eeg_csp,2,NoVisuals,10,58,34,0.5862068965517241,0.5184304399524375
04,eeg_csp,2,NoVisuals,30,18,8,0.4444444444444444,0.41975308641975306
04,eeg_csp,2,NoVisuals,60,8,5,0.625,0.4375
04,eeg_csp,3,FixedVideo,1,596,275,0.46140939597315433,0.4313994865096167
04,eeg_csp,3,FixedVideo,2,298,130,0.436241610738255,0.44592585919553174
04,eeg_csp,3,FixedVideo,5,118,48,0.4067796610169492,0.4179833381212295
04,eeg_csp,3,FixedVideo,10,58,21,0.3620689655172414,0.3852556480380499
04,eeg_csp,3,FixedVideo,30,18,5,0.2777777777777778,0.2962962962962963
