subject,model,test_condition,window_s,n_windows,n_correct,accuracy,auc
10,eeg_csp,FixedVideo,10,116,22,0.1896551724137931,0.2205707491082045
10,eeg_csp,FixedVideo,30,36,6,0.16666666666666666,0.22839506172839505
10,eeg_csp,FixedVideo,60,16,3,0.1875,0.25
10,eeg_csp,MovingTargetNoise,1,1192,490,0.4110738255033557,0.3661997207333003
10,eeg_csp,MovingTargetNoise,2,596,241,0.40436241610738255,0.34493941714337184
10,eeg_csp,MovingTargetNoise,5,236,120,0.5084745762711864,0.497701809824763
10,eeg_csp,MovingTargetNoise,10,116,60,0.5172413793103449,0.4958382877526754
10,eeg_csp,MovingTargetNoise,30,36,17,0.4722222222222222,0.45679012345679015
10,eeg_csp,MovingTargetNoise,60,16,7,0.4375,0.46875
10,eeg_csp,MovingVideo,1,1192,404,0.3389261744966443,0.27171073375073196
10,eeg_csp,MovingVideo,2,596,230,0.3859060402684564,0.3652538173956128
10,eeg_csp,MovingVideo,5,236,98,0.4152542372881356,0.40634875035909224
10,eeg_csp,MovingVideo,10,116,50,0.43103448275862066,0.4090368608799049
10,eeg_csp,MovingVideo,30,36,16,0.4444444444444444,0.37037037037037035
10,eeg_csp,MovingVideo,60,16,7,0.4375,0.25
10,eeg_csp,NoVisuals,1,1192,571,0.4790268456375839,0.4733232737264087
10,eeg_csp,NoVisuals,2,596,277,0.46476510067114096,0.4797756857799198
10,eeg_csp,NoVisuals,5,236,112,0.4745762711864407,0.48980178109738576
10,eeg_csp,NoVisuals,10,116,62,0.5344827586206896,0.5089179548156956
10,eeg_csp,NoVisuals,30,36,15,0.4166666666666667,0.46913580246913583
10,eeg_csp,NoVisuals,60,16,7,0.4375,0.5
10,eeg_eogreg_ts,FixedVideo,1,1192,370,0.3104026845637584,0.23497815413720102
10,eeg_eogreg_ts,FixedVideo,2,596,175,0.2936241610738255,0.23415611909373452
10,eeg_eogreg_ts,FixedVideo,5,236,65,0.2754237288135593,0.2097098534903763
10,eeg_eogreg_ts,FixedVideo,10,116,29,0.25,0.16825208085612367
10,eeg_eogreg_ts,FixedVideo,30,36,6,0.16666666666666666,0.1234567901234568
10,eeg_eogreg_ts,FixedVideo,60,16,2,0.125,0.0625
10,eeg_eogreg_ts,MovingTargetNoise,1,1192,496,0.4161073825503356,0.35301337777577585
10,eeg_eogreg_ts,MovingTargetNoise,2,596,244,0.40939597315436244,0.3555920904463763
10,eeg_eogreg_ts,MovingTargetNoise,5,236,93,0.3940677966101695,0.3427176098822177
10,eeg_eogreg_ts,MovingTargetNoise,10,116,46,0.39655172413793105,0.30202140309155767
10,eeg_eogreg_ts,MovingTargetNoise,30,36,14,0.3888888888888889,0.24074074074074073
10,eeg_eogreg_ts,MovingTargetNoise,60,16,6,0.375,0.15625
10,eeg_eogreg_ts,MovingVideo,1,1192,575,0.4823825503355705,0.46247916760506286
10,eeg_eogreg_ts,MovingVideo,2,596,282,0.47315436241610737,0.45792982298094687
10,eeg_eogreg_ts,MovingVideo,5,236,109,0.461864406779661,0.423728813559322
10,eeg_eogreg_ts,MovingVideo,10,116,52,0.4482758620689655,0.4019024970273484
10,eeg_eogreg_ts,MovingVideo,30,36,17,0.4722222222222222,0.35802469135802467
10,eeg_eogreg_ts,MovingVideo,60,16,7,0.4375,0.3125
10,eeg_eogreg_ts,NoVisuals,1,1192,457,0.38338926174496646,0.3459472546281699
10,eeg_eogreg_ts,NoVisuals,2,596,223,0.37416107382550334,0.33543534075041664
10,eeg_eogreg_ts,NoVisuals,5,236,82,0.3474576271186441,0.3079574834817581
10,eeg_eogreg_ts,NoVisuals,10,116,36,0.3103448275862069,0.24137931034482762
10,eeg_eogreg_ts,NoVisuals,30,36,6,0.16666666666666666,0.11111111111111113
10,eeg_eogreg_ts,NoVisuals,60,16,3,0.1875,0.09375
10,eeg_post_ts,FixedVideo,1,1192,535,0.4488255033557047,0.4177908652763389
10,eeg_post_ts,FixedVideo,2,596,249,0.41778523489932884,0.4089230214855186
10,eeg_post_ts,FixedVideo,5,236,95,0.4025423728813559,0.3697213444412525
10,eeg_post_ts,FixedVideo,10,116,42,0.3620689655172414,0.32996432818073723
10,eeg_post_ts,FixedVideo,30,36,10,0.2777777777777778,0.20987654320987656
10,eeg_post_ts,FixedVideo,60,16,3,0.1875,0.15625
10,eeg_post_ts,MovingTargetNoise,1,1192,526,0.4412751677852349,0.40863587225800635
10,eeg_post_ts,MovingTargetNoise,2,596,275,0.46140939597315433,0.41603981802621504
10,eeg_post_ts,MovingTargetNoise,5,236,105,0.4449152542372881,0.4070669347888538
10,eeg_post_ts,MovingTargetNoise,10,116,51,0.4396551724137931,0.39655172413793105
10,eeg_post_ts,MovingTargetNoise,30,36,14,0.3888888888888889,0.2716049382716049
10,eeg_post_ts,MovingTargetNoise,60,16,8,0.5,0.21875
10,eeg_post_ts,MovingVideo,1,1192,561,0.47063758389261745,0.45705711454438985
10,eeg_post_ts,MovingVideo,2,596,285,0.47818791946308725,0.4763298950497725
10,eeg_post_ts,MovingVideo,5,236,119,0.5042372881355932,0.4718471703533467
10,eeg_post_ts,MovingVideo,10,116,56,0.4827586206896552,0.45600475624256837
10,eeg_post_ts,MovingVideo,30,36,16,0.4444444444444444,0.3827160493827161
10,eeg_post_ts,MovingVideo,60,16,7,0.4375,0.4375
10,eeg_post_ts,NoVisuals,1,1192,583,0.4890939597315436,0.47620602675555157
10,eeg_post_ts,NoVisuals,2,596,274,0.4597315436241611,0.45732174226386196
10,eeg_post_ts,NoVisuals,5,236,102,0.4322033898305085,0.4393852341281241
10,eeg_post_ts,NoVisuals,10,116,51,0.4396551724137931,0.40368608799048755
10,eeg_post_ts,NoVisuals,30,36,14,0.3888888888888889,0.4567901234567901
10,eeg_post_ts,NoVisuals,60,16,6,0.375,0.28125
10,eeg_ts,FixedVideo,1,1192,386,0.3238255033557047,0.25512927345615055
10,eeg_ts,FixedVideo,2,596,184,0.3087248322147651,0.25025899734246204
10,eeg_ts,FixedVideo,5,236,69,0.2923728813559322,0.21717897155989654
10,eeg_ts,FixedVideo,10,116,26,0.22413793103448276,0.15695600475624258
10,eeg_ts,FixedVideo,30,36,5,0.1388888888888889,0.0925925925925926
10,eeg_ts,FixedVideo,60,16,2,0.125,0.03125
10,eeg_ts,MovingTargetNoise,1,1192,499,0.4186241610738255,0.3552092248096933
10,eeg_ts,MovingTargetNoise,2,596,234,0.3926174496644295,0.3611323814242602
10,eeg_ts,MovingTargetNoise,5,236,93,0.3940677966101695,0.3313702958919851
10,eeg_ts,MovingTargetNoise,10,116,43,0.3706896551724138,0.29072532699167664
10,eeg_ts,MovingTargetNoise,30,36,16,0.4444444444444444,0.18518518518518517
