subject,model,train_condition,test_condition,window_s,n_windows,n_correct,accuracy,auc
03,eeg_eogreg_ts,MovingVideo,FixedVideo,1,1192,557,0.4672818791946309,0.4533973694878609
03,eeg_eogreg_ts,MovingVideo,FixedVideo,2,596,286,0.4798657718120805,0.46180352236385747
03,eeg_eogreg_ts,MovingVideo,FixedVideo,5,236,116,0.4915254237288136,0.44182706118931336
03,eeg_eogreg_ts,MovingVideo,FixedVideo,10,116,57,0.49137931034482757,0.44530321046373367
03,eeg_eogreg_ts,MovingVideo,FixedVideo,30,36,17,0.4722222222222222,0.47530864197530864
03,eeg_eogreg_ts,MovingVideo,FixedVideo,60,16,8,0.5,0.546875
03,eeg_eogreg_ts,MovingVideo,MovingVideo,1,1192,496,0.4161073825503356,0.061827169947299684
03,eeg_eogreg_ts,MovingVideo,MovingVideo,2,596,255,0.4278523489932886,0.04425476329895049
03,eeg_eogreg_ts,MovingVideo,MovingVideo,5,236,98,0.4152542372881356,0.03289284688307957
03,eeg_eogreg_ts,MovingVideo,MovingVideo,10,116,46,0.39655172413793105,0.019024970273483943
03,eeg_eogreg_ts,MovingVideo,MovingVideo,30,36,14,0.3888888888888889,0.006172839506172842
