subject,trial,condition,eog_regression,window_s,n_windows,n_correct,ridge_alpha
04,7,FixedVideo,True,30,19,14,0.01
04,7,FixedVideo,True,60,9,6,0.01
07,0,MovingVideo,False,1,599,363,0.1
07,0,MovingVideo,False,2,299,193,0.1
07,0,MovingVideo,False,5,119,83,0.1
07,0,MovingVideo,False,10,59,43,0.1
07,0,MovingVideo,False,30,19,17,0.1
07,0,MovingVideo,False,60,9,9,0.1
07,1,MovingTargetNoise,False,1,599,334,0.1
07,1,MovingTargetNoise,False,2,299,185,0.1
07,1,MovingTargetNoise,False,5,119,81,0.1
07,1,MovingTargetNoise,False,10,59,43,0.1
07,1,MovingTargetNoise,False,30,19,16,0.1
07,1,MovingTargetNoise,False,60,9,8,0.1
07,2,MovingTargetNoise,False,1,599,370,0.1
07,2,MovingTargetNoise,False,2,299,198,0.1
07,2,MovingTargetNoise,False,5,119,92,0.1
07,2,MovingTargetNoise,False,10,59,49,0.1
07,2,MovingTargetNoise,False,30,19,18,0.1
07,2,MovingTargetNoise,False,60,9,9,0.1
07,3,NoVisuals,False,1,599,360,0.1
07,3,NoVisuals,False,2,299,187,0.1
07,3,NoVisuals,False,5,119,85,0.1
07,3,NoVisuals,False,10,59,44,0.1
07,3,NoVisuals,False,30,19,17,0.1
07,3,NoVisuals,False,60,9,9,0.1
07,4,FixedVideo,False,1,599,346,0.1
07,4,FixedVideo,False,2,299,182,0.1
07,4,FixedVideo,False,5,119,78,0.1
07,4,FixedVideo,False,10,59,42,0.1
07,4,FixedVideo,False,30,19,15,0.1
07,4,FixedVideo,False,60,9,8,0.1
07,5,MovingVideo,False,1,599,365,0.1
07,5,MovingVideo,False,2,299,196,0.1
07,5,MovingVideo,False,5,119,86,0.1
07,5,MovingVideo,False,10,59,49,0.1
07,5,MovingVideo,False,30,19,17,0.1
07,5,MovingVideo,False,60,9,9,0.1
07,6,NoVisuals,False,1,599,353,0.1
07,6,NoVisuals,False,2,299,187,0.1
07,6,NoVisuals,False,5,119,80,0.1
07,6,NoVisuals,False,10,59,42,0.1
07,6,NoVisuals,False,30,19,16,0.1
07,6,NoVisuals,False,60,9,8,0.1
07,7,FixedVideo,False,1,599,295,0.1
07,7,FixedVideo,False,2,299,153,0.1
07,7,FixedVideo,False,5,119,63,0.1
07,7,FixedVideo,False,10,59,30,0.1
07,7,FixedVideo,False,30,19,11,0.1
07,7,FixedVideo,False,60,9,6,0.1
07,0,MovingVideo,True,1,599,371,0.1
07,0,MovingVideo,True,2,299,202,0.1
07,0,MovingVideo,True,5,119,88,0.1
07,0,MovingVideo,True,10,59,48,0.1
07,0,MovingVideo,True,30,19,18,0.1
07,0,MovingVideo,True,60,9,9,0.1
07,1,MovingTargetNoise,True,1,599,342,0.1
07,1,MovingTargetNoise,True,2,299,181,0.1
07,1,MovingTargetNoise,True,5,119,82,0.1
07,1,MovingTargetNoise,True,10,59,40,0.1
07,1,MovingTargetNoise,True,30,19,15,0.1
07,1,MovingTargetNoise,True,60,9,8,0.1
07,2,MovingTargetNoise,True,1,599,367,0.1
07,2,MovingTargetNoise,True,2,299,187,0.1
07,2,MovingTargetNoise,True,5,119,86,0.1
07,2,MovingTargetNoise,True,10,59,51,0.1
07,2,MovingTargetNoise,True,30,19,19,0.1
07,2,MovingTargetNoise,True,60,9,9,0.1
07,3,NoVisuals,True,1,599,349,0.1
07,3,NoVisuals,True,2,299,192,0.1
07,3,NoVisuals,True,5,119,88,0.1
07,3,NoVisuals,True,10,59,44,0.1
07,3,NoVisuals,True,30,19,16,0.1
07,3,NoVisuals,True,60,9,9,0.1
07,4,FixedVideo,True,1,599,356,0.1
07,4,FixedVideo,True,2,299,185,0.1
07,4,FixedVideo,True,5,119,86,0.1
07,4,FixedVideo,True,10,59,46,0.1
07,4,FixedVideo,True,30,19,17,0.1
07,4,FixedVideo,True,60,9,8,0.1
07,5,MovingVideo,True,1,599,378,0.1
07,5,MovingVideo,True,2,299,216,0.1
07,5,MovingVideo,True,5,119,96,0.1
07,5,MovingVideo,True,10,59,52,0.1
07,5,MovingVideo,True,30,19,19,0.1
07,5,MovingVideo,True,60,9,9,0.1
07,6,NoVisuals,True,1,599,359,0.1
07,6,NoVisuals,True,2,299,200,0.1
07,6,NoVisuals,True,5,119,92,0.1
07,6,NoVisuals,True,10,59,42,0.1
07,6,NoVisuals,True,30,19,15,0.1
07,6,NoVisuals,True,60,9,9,0.1
07,7,FixedVideo,True,1,599,304,0.1
07,7,FixedVideo,True,2,299,157,0.1
07,7,FixedVideo,True,5,119,61,0.1
07,7,FixedVideo,True,10,59,32,0.1
07,7,FixedVideo,True,30,19,9,0.1
07,7,FixedVideo,True,60,9,4,0.1
08,0,MovingVideo,False,1,599,348,0.001
08,0,MovingVideo,False,2,299,167,0.001
08,0,MovingVideo,False,5,119,77,0.001
08,0,MovingVideo,False,10,59,42,0.001
08,0,MovingVideo,False,30,19,16,0.001
08,0,MovingVideo,False,60,9,8,0.001
08,1,MovingTargetNoise,False,1,599,349,0.001
08,1,MovingTargetNoise,False,2,299,180,0.001
08,1,MovingTargetNoise,False,5,119,82,0.001
08,1,MovingTargetNoise,False,10,59,45,0.001
08,1,MovingTargetNoise,False,30,19,17,0.001
08,1,MovingTargetNoise,False,60,9,9,0.001
08,2,NoVisuals,False,1,599,337,0.001
08,2,NoVisuals,False,2,299,177,0.001
08,2,NoVisuals,False,5,119,80,0.001
08,2,NoVisuals,False,10,59,40,0.001
08,2,NoVisuals,False,30,19,16,0.001
08,2,NoVisuals,False,60,9,8,0.001
08,3,FixedVideo,False,1,599,324,0.001
08,3,FixedVideo,False,2,299,171,0.001
08,3,FixedVideo,False,5,119,71,0.001
08,3,FixedVideo,False,10,59,39,0.001
08,3,FixedVideo,False,30,19,13,0.001
08,3,FixedVideo,False,60,9,5,0.001
08,4,MovingVideo,False,1,599,338,0.0001
08,4,MovingVideo,False,2,299,172,0.0001
08,4,MovingVideo,False,5,119,68,0.0001
08,4,MovingVideo,False,10,59,34,0.0001
08,4,MovingVideo,False,30,19,15,0.0001
08,4,MovingVideo,False,60,9,8,0.0001
08,5,MovingTargetNoise,False,1,599,343,0.001
08,5,MovingTargetNoise,False,2,299,188,0.001
08,5,MovingTargetNoise,False,5,119,77,0.001
08,5,MovingTargetNoise,False,10,59,40,0.001
08,5,MovingTargetNoise,False,30,19,17,0.001
08,5,MovingTargetNoise,False,60,9,8,0.001
08,6,NoVisuals,False,1,599,339,0.0001
08,6,NoVisuals,False,2,299,176,0.0001
08,6,NoVisuals,False,5,119,74,0.0001
08,6,NoVisuals,False,10,59,38,0.0001
08,6,NoVisuals,False,30,19,15,0.0001
08,6,NoVisuals,False,60,9,6,0.0001
08,7,FixedVideo,False,1,599,356,0.001
08,7,FixedVideo,False,2,299,183,0.001
08,7,FixedVideo,False,5,119,77,0.001
08,7,FixedVideo,False,10,59,39,0.001
08,7,FixedVideo,False,30,19,14,0.001
08,7,FixedVideo,False,60,9,8,0.001
08,0,MovingVideo,True,1,599,325,0.01
08,0,MovingVideo,True,2,299,169,0.01
08,0,MovingVideo,True,5,119,76,0.01
08,0,MovingVideo,True,10,59,38,0.01
08,0,MovingVideo,True,30,19,15,0.01
08,0,MovingVideo,True,60,9,8,0.01
08,1,MovingTargetNoise,True,1,599,345,0.01
08,1,MovingTargetNoise,True,2,299,187,0.01
08,1,MovingTargetNoise,True,5,119,82,0.01
08,1,MovingTargetNoise,True,10,59,42,0.01
08,1,MovingTargetNoise,True,30,19,18,0.01
08,1,MovingTargetNoise,True,60,9,9,0.01
08,2,NoVisuals,True,1,599,330,0.001
08,2,NoVisuals,True,2,299,171,0.001
08,2,NoVisuals,True,5,119,77,0.001
08,2,NoVisuals,True,10,59,39,0.001
08,2,NoVisuals,True,30,19,14,0.001
08,2,NoVisuals,True,60,9,7,0.001
08,3,FixedVideo,True,1,599,318,0.01
08,3,FixedVideo,True,2,299,163,0.01
08,3,FixedVideo,True,5,119,75,0.01
08,3,FixedVideo,True,10,59,39,0.01
08,3,FixedVideo,True,30,19,13,0.01
08,3,FixedVideo,True,60,9,5,0.01
08,4,MovingVideo,True,1,599,322,0.001
08,4,MovingVideo,True,2,299,173,0.001
08,4,MovingVideo,True,5,119,77,0.001
08,4,MovingVideo,True,10,59,36,0.001
08,4,MovingVideo,True,30,19,17,0.001
08,4,MovingVideo,True,60,9,8,0.001
08,5,MovingTargetNoise,True,1,599,349,0.01
08,5,MovingTargetNoise,True,2,299,180,0.01
08,5,MovingTargetNoise,True,5,119,79,0.01
08,5,MovingTargetNoise,True,10,59,41,0.01
08,5,MovingTargetNoise,True,30,19,17,0.01
08,5,MovingTargetNoise,True,60,9,8,0.01
08,6,NoVisuals,True,1,599,338,0.001
08,6,NoVisuals,True,2,299,169,0.001
08,6,NoVisuals,True,5,119,76,0.001
08,6,NoVisuals,True,10,59,39,0.001
08,6,NoVisuals,True,30,19,15,0.001
08,6,NoVisuals,True,60,9,6,0.001
08,7,FixedVideo,True,1,599,346,0.01
08,7,FixedVideo,True,2,299,176,0.01
08,7,FixedVideo,True,5,119,72,0.01
08,7,FixedVideo,True,10,59,41,0.01
08,7,FixedVideo,True,30,19,16,0.01
08,7,FixedVideo,True,60,9,8,0.01
09,0,MovingVideo,False,1,599,349,0.01
09,0,MovingVideo,False,2,299,188,0.01
09,0,MovingVideo,False,5,119,84,0.01
09,0,MovingVideo,False,10,59,45,0.01
09,0,MovingVideo,False,30,19,16,0.01
09,0,MovingVideo,False,60,9,9,0.01
09,1,MovingTargetNoise,False,1,599,346,0.01
09,1,MovingTargetNoise,False,2,299,176,0.01
09,1,MovingTargetNoise,False,5,119,77,0.01
09,1,MovingTargetNoise,False,10,59,43,0.01
09,1,MovingTargetNoise,False,30,19,14,0.01
09,1,MovingTargetNoise,False,60,9,8,0.01
09,2,NoVisuals,False,1,599,347,0.01
09,2,NoVisuals,False,2,299,183,0.01
09,2,NoVisuals,False,5,119,77,0.01
09,2,NoVisuals,False,10,59,39,0.01
09,2,NoVisuals,False,30,19,12,0.01
09,2,NoVisuals,False,60,9,8,0.01
09,3,FixedVideo,False,1,599,390,0.01
09,3,FixedVideo,False,2,299,198,0.01
09,3,FixedVideo,False,5,119,89,0.01
09,3,FixedVideo,False,10,59,47,0.01
09,3,FixedVideo,False,30,19,18,0.01
09,3,FixedVideo,False,60,9,9,0.01
09,4,MovingTargetNoise,False,1,599,337,0.01
09,4,MovingTargetNoise,False,2,299,183,0.01
09,4,MovingTargetNoise,False,5,119,81,0.01
09,4,MovingTargetNoise,False,10,59,43,0.01
09,4,MovingTargetNoise,False,30,19,16,0.01
09,4,MovingTargetNoise,False,60,9,8,0.01
09,5,MovingVideo,False,1,599,370,0.01
09,5,MovingVideo,False,2,299,195,0.01
09,5,MovingVideo,False,5,119,84,0.01
09,5,MovingVideo,False,10,59,41,0.01
09,5,MovingVideo,False,30,19,16,0.01
09,5,MovingVideo,False,60,9,8,0.01
09,6,NoVisuals,False,1,599,388,0.01
