subject,model,analysis,condition,accuracy
09,gazectrl_ts,side_decoding_loto,MovingVideo,0.4872881355932203
09,gazectrl_ts,side_decoding_loto,NoVisuals,0.4491525423728814
10,eog_ts,leaky_random_cv,FixedVideo,0.5720338983050848
10,eog_ts,leaky_random_cv,MovingTargetNoise,0.4745762711864407
10,eog_ts,leaky_random_cv,MovingVideo,0.652542372881356
10,eog_ts,leaky_random_cv,NoVisuals,0.5932203389830508
10,eog_ts,time_decoding_loto,FixedVideo,0.6483050847457628
10,eog_ts,time_decoding_loto,MovingTargetNoise,0.6440677966101694
10,eog_ts,time_decoding_loto,MovingVideo,0.7584745762711864
10,eog_ts,time_decoding_loto,NoVisuals,0.614406779661017
10,eog_ts,side_decoding_loto,FixedVideo,0.4661016949152542
10,eog_ts,side_decoding_loto,MovingTargetNoise,0.3940677966101695
10,eog_ts,side_decoding_loto,MovingVideo,0.4279661016949153
10,eog_ts,side_decoding_loto,NoVisuals,0.4067796610169492
10,eeg_csp,leaky_random_cv,FixedVideo,0.538135593220339
10,eeg_csp,leaky_random_cv,MovingTargetNoise,0.6059322033898306
10,eeg_csp,leaky_random_cv,MovingVideo,0.6271186440677966
10,eeg_csp,leaky_random_cv,NoVisuals,0.5466101694915254
10,eeg_csp,time_decoding_loto,FixedVideo,0.6101694915254238
10,eeg_csp,time_decoding_loto,MovingTargetNoise,0.6949152542372882
10,eeg_csp,time_decoding_loto,MovingVideo,0.7330508474576272
10,eeg_csp,time_decoding_loto,NoVisuals,0.7033898305084746
10,eeg_csp,side_decoding_loto,FixedVideo,0.2076271186440678
10,eeg_csp,side_decoding_loto,MovingTargetNoise,0.5084745762711864
10,eeg_csp,side_decoding_loto,MovingVideo,0.4152542372881356
10,eeg_csp,side_decoding_loto,NoVisuals,0.4745762711864407
10,eeg_ts,leaky_random_cv,FixedVideo,0.5296610169491526
10,eeg_ts,leaky_random_cv,MovingTargetNoise,0.5805084745762712
10,eeg_ts,leaky_random_cv,MovingVideo,0.6440677966101694
10,eeg_ts,leaky_random_cv,NoVisuals,0.538135593220339
10,eeg_ts,time_decoding_loto,FixedVideo,0.6313559322033898
10,eeg_ts,time_decoding_loto,MovingTargetNoise,0.7838983050847458
10,eeg_ts,time_decoding_loto,MovingVideo,0.8135593220338984
10,eeg_ts,time_decoding_loto,NoVisuals,0.6440677966101694
10,eeg_ts,side_decoding_loto,FixedVideo,0.2923728813559322
10,eeg_ts,side_decoding_loto,MovingTargetNoise,0.3940677966101695
10,eeg_ts,side_decoding_loto,MovingVideo,0.4661016949152542
10,eeg_ts,side_decoding_loto,NoVisuals,0.3347457627118644
10,gazectrl_ts,leaky_random_cv,FixedVideo,0.5338983050847458
10,gazectrl_ts,leaky_random_cv,MovingTargetNoise,0.5042372881355932
10,gazectrl_ts,leaky_random_cv,MovingVideo,0.6059322033898306
10,gazectrl_ts,leaky_random_cv,NoVisuals,0.576271186440678
10,gazectrl_ts,time_decoding_loto,FixedVideo,0.5677966101694916
10,gazectrl_ts,time_decoding_loto,MovingTargetNoise,0.5466101694915254
10,gazectrl_ts,time_decoding_loto,MovingVideo,0.6059322033898306
10,gazectrl_ts,time_decoding_loto,NoVisuals,0.6101694915254238
10,gazectrl_ts,side_decoding_loto,FixedVideo,0.4661016949152542
10,gazectrl_ts,side_decoding_loto,MovingTargetNoise,0.4703389830508475
10,gazectrl_ts,side_decoding_loto,MovingVideo,0.4661016949152542
10,gazectrl_ts,side_decoding_loto,NoVisuals,0.559322033898305
11,eog_ts,leaky_random_cv,FixedVideo,0.461864406779661
11,eog_ts,leaky_random_cv,MovingTargetNoise,0.5338983050847458
11,eog_ts,leaky_random_cv,MovingVideo,0.5254237288135594
11,eog_ts,leaky_random_cv,NoVisuals,0.5
11,eog_ts,time_decoding_loto,FixedVideo,0.6101694915254238
11,eog_ts,time_decoding_loto,MovingTargetNoise,0.5677966101694916
11,eog_ts,time_decoding_loto,MovingVideo,0.5127118644067796
11,eog_ts,time_decoding_loto,NoVisuals,0.5805084745762712
11,eog_ts,side_decoding_loto,FixedVideo,0.3050847457627119
11,eog_ts,side_decoding_loto,MovingTargetNoise,0.5
11,eog_ts,side_decoding_loto,MovingVideo,0.3983050847457627
11,eog_ts,side_decoding_loto,NoVisuals,0.3559322033898305
11,eeg_csp,leaky_random_cv,FixedVideo,0.5169491525423728
11,eeg_csp,leaky_random_cv,MovingTargetNoise,0.5084745762711864
11,eeg_csp,leaky_random_cv,MovingVideo,0.6059322033898306
11,eeg_csp,leaky_random_cv,NoVisuals,0.538135593220339
11,eeg_csp,time_decoding_loto,FixedVideo,0.6779661016949152
11,eeg_csp,time_decoding_loto,MovingTargetNoise,0.7330508474576272
11,eeg_csp,time_decoding_loto,MovingVideo,0.6652542372881356
11,eeg_csp,time_decoding_loto,NoVisuals,0.652542372881356
11,eeg_csp,side_decoding_loto,FixedVideo,0.4406779661016949
11,eeg_csp,side_decoding_loto,MovingTargetNoise,0.4152542372881356
11,eeg_csp,side_decoding_loto,MovingVideo,0.4364406779661017
11,eeg_csp,side_decoding_loto,NoVisuals,0.3771186440677966
11,eeg_ts,leaky_random_cv,FixedVideo,0.5889830508474576
11,eeg_ts,leaky_random_cv,MovingTargetNoise,0.5889830508474576
11,eeg_ts,leaky_random_cv,MovingVideo,0.6949152542372882
11,eeg_ts,leaky_random_cv,NoVisuals,0.6652542372881356
11,eeg_ts,time_decoding_loto,FixedVideo,0.5932203389830508
11,eeg_ts,time_decoding_loto,MovingTargetNoise,0.6059322033898306
11,eeg_ts,time_decoding_loto,MovingVideo,0.5169491525423728
11,eeg_ts,time_decoding_loto,NoVisuals,0.6440677966101694
11,eeg_ts,side_decoding_loto,FixedVideo,0.3728813559322034
11,eeg_ts,side_decoding_loto,MovingTargetNoise,0.3686440677966102
11,eeg_ts,side_decoding_loto,MovingVideo,0.5423728813559322
11,eeg_ts,side_decoding_loto,NoVisuals,0.5084745762711864
11,gazectrl_ts,leaky_random_cv,FixedVideo,0.4830508474576271
11,gazectrl_ts,leaky_random_cv,MovingTargetNoise,0.4957627118644068
11,gazectrl_ts,leaky_random_cv,MovingVideo,0.5042372881355932
11,gazectrl_ts,leaky_random_cv,NoVisuals,0.538135593220339
11,gazectrl_ts,time_decoding_loto,FixedVideo,0.5254237288135594
11,gazectrl_ts,time_decoding_loto,MovingTargetNoise,0.5338983050847458
11,gazectrl_ts,time_decoding_loto,MovingVideo,0.5254237288135594
11,gazectrl_ts,time_decoding_loto,NoVisuals,0.4957627118644068
11,gazectrl_ts,side_decoding_loto,FixedVideo,0.4661016949152542
11,gazectrl_ts,side_decoding_loto,MovingTargetNoise,0.4788135593220339
11,gazectrl_ts,side_decoding_loto,MovingVideo,0.4957627118644068
11,gazectrl_ts,side_decoding_loto,NoVisuals,0.4661016949152542
12,eog_ts,leaky_random_cv,FixedVideo,0.6016949152542372
12,eog_ts,leaky_random_cv,MovingTargetNoise,0.6101694915254238
